date,afghanistan,albania,algeria,angola,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bolivia,bosnia_and_herzegovina,botswana,brazil,brunei,bulgaria,burkina_faso,burundi,cabo_verde,cambodia,cameroon,canada,central_african_republic,chad,chile,china,colombia,comoros,congo_democratic_republic,congo_republic,costa_rica,croatia,cyprus,czechia,denmark,djibouti,dominican_republic,ecuador,egypt,el_salvador,equatorial_guinea,estonia,eswatini,ethiopia,fiji,finland,france,french_polynesia,gabon,gambia,georgia,germany,ghana,greece,guatemala,guinea,guinea_bissau,guyana,haiti,honduras,hong_kong,hungary,iceland,india,indonesia,iran,iraq,ireland,israel,italy,ivory_coast,jamaica,japan,jordan,kazakhstan,kenya,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,lithuania,luxembourg,madagascar,malawi,malaysia,maldives,mali,malta,mauritania,mauritius,mexico,moldova,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nepal,netherlands,new_caledonia,new_zealand,nicaragua,niger,nigeria,north_macedonia,norway,oman,pakistan,panama,papua_new_guinea,paraguay,peru,philippines,poland,portugal,qatar,regions,regions_patch,romania,russia,rwanda,samoa,sao_tome_and_principe,saudi_arabia,senegal,serbia,sierra_leone,singapore,slovakia,slovenia,solomon_islands,south_africa,south_korea,spain,sri_lanka,st_lucia,st_vincent_and_the_grenadines,sudan,suriname,sweden,switzerland,syria,tajikistan,tanzania,thailand,timor_leste,togo,tonga,trinidad_and_tobago,tunisia,turkey,turkmenistan,uganda,ukraine,united_arab_emirates,united_kingdom,united_states,uruguay,uzbekistan,vanuatu,venezuela,vietnam,west_bank_and_gaza,yemen,zambia,zimbabwe
1991-01-01,-280000.0,20000000.0,11638686.0,664500000.0,2439000000.0,2400000.0,2612066600.0,360000000.0,10000.0,-1300000.0,619414900.0,1390444.4,7424921.0,7000000.0,9362560000.0,13600000.0,393822.34,600000.0,52000000.0,66736468.0,-8211494.0,1103000000.0,5000000.0,55900000.0,570000.0,892500.1,1744334.2,33000000.0,-14498050.0,3514220000.0,-4874038.5,4239527.5,822700000.0,4366000000.0,456900000.0,2506163.2,12390000.0,32753530.0,178400000.0,13000000.0,81820990.0,654278400.0,1552515300.0,2290106.5,145000000.0,160000000.0,253000000.0,25180498.0,41324760.0,82271990.0,82134776.0,170000.0,-40188200.0,-232904210.0,15152742000.0,33820000.0,-54589230.0,9270433.0,10000.0,4741546000.0,20000000.0,1135000000.0,90700000.0,38770000.0,2090000.0,12340000.0,-1800000.0,52100000.0,1020860000.0,1462141200.0,-18436100.0,73537640.0,1482000000.0,22590000.0,7686000.0,1361668000.0,345600000.0,2403349200.0,18524890.0,133200000.0,1284268800.0,-11887398.0,100000000.0,18830976.0,800000.0,10000000.0,6900000.0,30703328.0,1630000.0,7989961.0,8410000.0,91903800.0,10000000.0,4243174400.0,13681240.0,-28700000.0,3998448600.0,6500000.0,1205216.9,90037660.0,2269792.0,17377628.0,4762000000.0,17000000.0,11120000.0,937357700.0,317462140.0,22500000.0,238056780.0,120449860.0,2220000.0,5623819300.0,-40626090.0,1691366000.0,42000000.0,11240420.0,712373400.0,24000000.0,-353675740.0,135240580.0,258414480.0,124700000.0,120597590.0,86100000.0,-7000000.0,544000000.0,291000000.0,2448454100.0,42540000.0,1241968600.0,15783450000.0,40000000.0,1161000000.0,4580000.0,3190000.0,-480000.0,160000000.0,-7550329.0,4423192600.0,7504465.0,4887094300.0,198834260.0,111000000.0,14513307.0,254133620.0,1455200000.0,12492783000.0,48349172.0,57744444.0,8896296.0,-620000.0,18500000.0,6350883300.0,2838789000.0,54000000.0,9000000.0,10000.0,2013985900.0,4519000.0,6479813.0,200289.44,169341180.0,125456830.0,810000000.0,10.0,1000000.0,200000000.0,25940000.0,23244186000.0,34550000000.0,32340000.0,9000000.0,25474518.0,1916000000.0,375190270.0,122600000.0,282500000.0,34300000.0,2790486.0
1992-01-01,360000.0,20000000.0,30000000.0,287956000.0,4430977500.0,2400000.0,4941906400.0,1485517700.0,10000.0,300000.0,868617000.0,3721853.5,14450000.0,7000000.0,11285800000.0,15600000.0,954317.44,-6629199.5,93100000.0,66736468.0,-1564184.9,2061000000.0,7000000.0,41500000.0,3113050.0,600088.3,450471.75,33000000.0,29203776.0,7018240000.0,-10676568.0,1960771.0,936100000.0,11156000000.0,728700000.0,-1446978.1,-730000.0,2739030.0,226000000.0,13000000.0,107441110.0,654278400.0,1017385340.0,2290106.5,179700000.0,178000000.0,459000000.0,15309479.0,6018320.0,82271990.0,87306720.0,170000.0,37791316.0,396369730.0,21839501000.0,30000.0,126940090.0,6323269.0,10000.0,-2137483000.0,22500000.0,1144000000.0,94100000.0,19690000.0,5830000.0,146610000.0,-2200000.0,47600000.0,3887467000.0,1479165400.0,8648079.0,276512450.0,1777000000.0,8500000.0,93000.0,1458175000.0,588500000.0,3118551000.0,69053840.0,142400000.0,2755604000.0,40722570.0,100000000.0,6363133.0,35300000.0,10000000.0,7800000.0,30703328.0,18460000.0,8369827.0,-10850000.0,99093120.0,10000000.0,4243174400.0,21132352.0,-7100000.0,5183358000.0,6600000.0,-21874496.0,84694340.0,7549403.0,14714190.0,4393000000.0,17000000.0,2000000.0,937357700.0,422470460.0,25300000.0,171558720.0,118232230.0,-27712612.0,6186517500.0,-40626090.0,1088200100.0,15000000.0,56390110.0,896641300.0,24000000.0,-668114800.0,104291290.0,336479870.0,150500000.0,106342710.0,117500000.0,-79000000.0,228000000.0,678000000.0,1873428600.0,39580000.0,652325000.0,17281763000.0,77000000.0,1161000000.0,5500000.0,5000000.0,-480000.0,-78933336.0,21383360.0,4423192600.0,-5599050.5,2204342300.0,198834260.0,111000000.0,14173013.0,3358018.2,1001600000.0,13275723000.0,122625840.0,40940740.0,13900000.0,90000.0,-54300000.0,-5418690.0,1128487700.0,57000000.0,9000000.0,12169639.0,2113021800.0,4519000.0,-13109580.0,1244111.9,177882350.0,525760400.0,844000000.0,10.0,3000000.0,200000000.0,129720000.0,23011211000.0,30310000000.0,11300000.0,9000000.0,26452894.0,629000000.0,473945860.0,122600000.0,718000000.0,45000000.0,14949900.0
1993-01-01,-20000.0,58000000.0,1000.0,302100000.0,2793085400.0,800000.0,5312435000.0,1125106200.0,10000.0,27300000.0,-275000000.0,14049887.0,9402114.0,17600000.0,10750000000.0,9200000.0,-21635980.0,-7063697.5,123800000.0,66736468.0,-286949440.0,1292000000.0,8000000.0,40000000.0,3178380.0,473679.88,3644068.2,54124000.0,5120733.0,4178460400.0,-9980132.0,15160902.0,1034300000.0,27515000000.0,959100000.0,190704.78,6870000.0,286054340.0,246700000.0,144186480.0,83432990.0,654278400.0,1712766200.0,1423579.6,190700000.0,473720000.0,493000000.0,16432044.0,22301676.0,168371550.0,71920616.0,3500000.0,-3243015.2,863526100.0,20754045000.0,-3240000.0,-113715590.0,10741222.0,10000.0,477658750.0,125000000.0,977000000.0,142500000.0,2720000.0,3300000.0,69540000.0,-2800000.0,26700000.0,6929626000.0,2349715200.0,-1174.9655,550370050.0,2004000000.0,207550000.0,803000.0,1077890000.0,604900000.0,3738910200.0,175153540.0,77900000.0,210435440.0,-33548530.0,1271400000.0,145655520.0,13252100.0,10000000.0,29900000.0,55933000.0,7400000.0,15656907.0,-53620000.0,58152864.0,30175186.0,4243174400.0,15357022.0,8000000.0,5005643000.0,6900000.0,4061271.0,56441544.0,16091938.0,14732527.0,4389000000.0,14000000.0,7700000.0,937357700.0,491466080.0,32000000.0,104674230.0,55267530.0,-31091962.0,6380304000.0,-40626090.0,2211822600.0,38800000.0,-34157056.0,1345368600.0,24000000.0,991524100.0,142002610.0,348556960.0,177000000.0,62052590.0,75000000.0,760588900.0,1238000000.0,1715000000.0,1533880600.0,72050000.0,839514600.0,18195012000.0,94000000.0,1210782000.0,5840000.0,5000000.0,-480000.0,1367200000.0,-812254.25,4423192600.0,-7462923.5,4686312000.0,198834260.0,112600000.0,23370838.0,11290546.0,832300000.0,10808165000.0,194479070.0,34162964.0,31400000.0,-160000.0,-46600000.0,3704921300.0,1706938000.0,109000000.0,9000000.0,20457764.0,1804041000.0,4519000.0,-18575900.0,351311.28,379212000.0,561897540.0,678000000.0,79000000.0,54600000.0,200000000.0,401320000.0,19686259000.0,50230000000.0,101500000.0,48000000.0,25967922.0,372000000.0,926303700.0,122600000.0,903000000.0,314400000.0,27955136.0
1994-01-01,20000.0,53000000.0,1000.0,170300000.0,3634932000.0,8000000.0,4458484000.0,2075823600.0,22000000.0,23600000.0,208244700.0,11147788.0,12950000.0,10500000.0,8513580000.0,15369500.0,-7107468.5,-3802754.0,130200000.0,66736468.0,-14154569.0,3072000000.0,5890000.0,105400000.0,18371590.0,3957.8489,2128443.2,68900000.0,3674320.5,9541029000.0,3602275.0,27074698.0,2582100000.0,33787000000.0,1446497300.0,177714.23,-1500000.0,2990000.0,297600000.0,114440870.0,75174070.0,878231740.0,5006178300.0,1423579.6,208100000.0,576330000.0,1256000000.0,110358056.0,16995534.0,218447600.0,63262110.0,17210000.0,-31281482.0,277840030.0,15797125000.0,1550000.0,-99602904.0,9716367.0,8000000.0,7517424600.0,233000000.0,981000000.0,65200000.0,210000.0,430000.0,106690000.0,-2800000.0,34800000.0,7827939000.0,1144083800.0,2394198.5,973271500.0,2109000000.0,2000000.0,-30000.0,856979000.0,441600000.0,2208555800.0,117538570.0,79000000.0,888384450.0,2854731.8,659700000.0,7432412.5,1519181800.0,38178000.0,59200000.0,282828000.0,22560000.0,43269332.0,17380000.0,-72624300.0,31304838.0,4243174400.0,5728098.0,24992618.0,4341801000.0,8742866.0,17417000.0,151693040.0,2079708.6,19988456.0,10972500000.0,11568000.0,6900000.0,937357700.0,550924350.0,35000000.0,126091860.0,97977970.0,-17800312.0,7126515000.0,-40626090.0,2616630800.0,46700000.0,4075974.2,1959219800.0,24000000.0,2736394000.0,76462936.0,421024640.0,401500000.0,59713464.0,137100000.0,3289186800.0,1591000000.0,1875000000.0,1269715000.0,131850000.0,1187866000.0,29768909000.0,341000000.0,689570000.0,1000.0,3000000.0,-851885.7,349333340.0,66876236.0,4423192600.0,-2874187.5,8550165000.0,269877760.0,116900000.0,2096398.9,374410430.0,1136600000.0,8772628000.0,166412940.0,32522222.0,46914816.0,99180000.0,-30200000.0,6268781000.0,3682699300.0,251000000.0,12000000.0,50000896.0,1366440800.0,4519000.0,-3265462.2,2489172.2,516174940.0,432008500.0,608000000.0,103000000.0,88200000.0,159000000.0,62460000.0,19561337000.0,55940000000.0,154500000.0,73000000.0,29786176.0,801000000.0,1944516000.0,122600000.0,15800000.0,40000000.0,34648880.0
1995-01-01,-93330.0,70000000.0,1000.0,472427000.0,5609423400.0,25320000.0,13268875000.0,1825090300.0,330050000.0,106900000.0,430586750.0,1896372.1,63803750.0,14700000.0,10688700000.0,21050000.0,-7738379.5,50000.0,392700000.0,66736468.0,70413224.0,4859000000.0,582760600.0,90400000.0,9816730.0,1981922.5,26180648.0,150800000.0,15105727.0,13657594000.0,6200570.0,32611570.0,2957000000.0,35849200000.0,968368260.0,889525.0,-22350000.0,112782090.0,336900000.0,108053140.0,243136820.0,2567564500.0,4139423200.0,3218528.0,417400000.0,452480000.0,598000000.0,38037220.0,126924170.0,206807470.0,51756164.0,14140000.0,-22683100.0,1450710400.0,23736302000.0,2080000.0,-195496960.0,7729249.0,62138760.0,12040790000.0,106500000.0,1053000000.0,75200000.0,769000.0,40000.0,74420000.0,7400000.0,50000000.0,6213362700.0,4804151300.0,-9309003.0,2143628200.0,4346000000.0,17000000.0,-1324443.9,1442925000.0,1350300000.0,4843883000.0,211760830.0,101800000.0,41463070.0,13308089.0,964200000.0,42289250.0,6701341.0,96090000.0,95100000.0,244039000.0,35000000.0,24176206.0,4600000.0,-88486060.0,72557500.0,4243174400.0,9710168.0,5643045.5,4178239200.0,7230711.0,111429784.0,392188540.0,6989378.5,18692860.0,9526290000.0,66910000.0,9800000.0,937357700.0,334768300.0,45000000.0,277199200.0,153015440.0,2243122.5,12206170000.0,-40626090.0,2849962000.0,88900000.0,2233804.5,335842180.0,9490000.0,2392767000.0,46293890.0,722631550.0,281300000.0,454568860.0,94500000.0,2556981500.0,1478000000.0,3659000000.0,684572200.0,93560000.0,2662960600.0,33499044000.0,419000000.0,2065720000.0,2000000.0,3440000.0,30000.0,-1874666600.0,31673946.0,4423192600.0,7287056.0,11942853000.0,236132980.0,150400000.0,2025896.2,1248425000.0,2487100000.0,8281607000.0,55995588.0,32751852.0,30640740.0,12000000.0,-20600000.0,14939376000.0,4158248000.0,100000000.0,10000000.0,119936660.0,2067936400.0,4519000.0,-7813307.0,1028450.0,298934270.0,275971460.0,885000000.0,233000000.0,121200000.0,267000000.0,399850000.0,29129260000.0,69080000000.0,156600000.0,-24000000.0,31044914.0,996000000.0,1780400000.0,122600000.0,-217700000.0,107000000.0,117700000.0
1996-01-01,690000.0,90100000.0,270000000.0,180559000.0,6948537000.0,17570000.0,4563952600.0,4323513300.0,627277000.0,87800000.0,2048151900.0,13529832.0,15836484.0,104500000.0,14063900000.0,16580000.0,-14661254.0,1400000.0,474100000.0,66736468.0,71182310.0,12552000000.0,653600000.0,109000000.0,16225130.0,-942285.9,28528008.0,293600000.0,104417060.0,8817677000.0,10925580.0,39466170.0,4814616000.0,40180000000.0,3111676700.0,510000.0,24790000.0,62427620.0,426950000.0,492528200.0,233749460.0,1435279100.0,773444100.0,3263542.2,134200000.0,499680000.0,636000000.0,-289882560.0,376180400.0,165850740.0,21715844.0,21930000.0,-72186984.0,752969500.0,21971888000.0,3550000.0,-285112500.0,10655114.0,145768980.0,15590587000.0,120000000.0,1058000000.0,76900000.0,23774000.0,1030000.0,59000000.0,4100000.0,90900000.0,10460173000.0,3288936400.0,83381490.0,2426057000.0,6194000000.0,26000000.0,-1994000.0,2617483000.0,1397100000.0,3548937200.0,269194530.0,135700000.0,-38203596.0,15514810.0,1137000000.0,108672930.0,347351460.0,47238000.0,159800000.0,331352000.0,80000000.0,29073624.0,-132130000.0,-111721670.0,152400000.0,4243174400.0,10161892.0,15797661.0,5078415000.0,9315252.0,27209332.0,312996160.0,-435540.0,36661332.0,9185600000.0,23740000.0,15900000.0,937357700.0,357393800.0,72500000.0,310437100.0,128693896.0,19160172.0,16604371000.0,-40626090.0,3918617000.0,120000000.0,8630591.0,499276800.0,11210000.0,3827495400.0,60600000.0,921976200.0,428300000.0,109832530.0,139800000.0,3471149000.0,1517000000.0,4500000000.0,1571447800.0,338870000.0,2087426700.0,41162200000.0,263000000.0,2579330000.0,2220000.0,1160000.0,320000.0,-1127466600.0,13955559.0,4423192600.0,663927.9,11432364000.0,350826240.0,173300000.0,5944439.0,816389250.0,2782600000.0,9801379000.0,119874350.0,18414814.0,42644444.0,400000.0,19100000.0,5491883500.0,4880219600.0,89000000.0,18000000.0,150066380.0,2335837400.0,4519000.0,2253923.5,284990.0,355399940.0,238337800.0,722000000.0,108060000.0,121000000.0,521000000.0,300520000.0,32412668000.0,97660000000.0,136800000.0,90000000.0,32732116.0,2183000000.0,2395000000.0,177200000.0,-60100000.0,127100000.0,80900000.0
1997-01-01,-1460000.0,47500000.0,260000000.0,411660000.0,9160272000.0,51940000.0,8088069000.0,2668974800.0,1114838000.0,210000000.0,329284160.0,139376160.0,28203500.0,351600000.0,11998300000.0,11955000.0,12183267.0,-700000.0,730600000.0,66736468.0,100109750.0,18992935000.0,701740000.0,504800000.0,9765810.0,-6287708.0,11576611.0,203700000.0,149614500.0,15182401000.0,1497420.0,44293940.0,5271400000.0,45439000000.0,5562216400.0,20000.0,-44350000.0,-49200800.0,409440000.0,596514800.0,546519230.0,1286492900.0,2791671300.0,3100365.2,408700000.0,723950000.0,890550000.0,59043540.0,53451530.0,274049600.0,-15313929.0,288490000.0,-60193604.0,2454076000.0,23047926000.0,14370000.0,-114712200.0,11666476.0,242500000.0,18638428000.0,81800000.0,984000000.0,631400000.0,17301000.0,11479110.0,52000000.0,4000000.0,121500000.0,11368148000.0,4164123400.0,148012830.0,3577330000.0,4677000000.0,53000000.0,1153000.0,2028797800.0,1633800000.0,3687266600.0,415458080.0,155700000.0,2486935000.0,360930880.0,1321400000.0,62096810.0,19779208.0,83820000.0,91000000.0,474354000.0,1799600000.0,32679906.0,213820000.0,-67915600.0,362287500.0,4243174400.0,14005421.0,14868714.0,5136514600.0,11408883.0,74360590.0,136993950.0,-3329920.0,55277852.0,12829800000.0,78740000.0,25000000.0,937357700.0,1079341300.0,64400000.0,387184130.0,90972980.0,23056468.0,11033361000.0,-40626090.0,1917456800.0,203400000.0,18959364.0,469577020.0,15740000.0,4514609000.0,64500000.0,716253100.0,1312200000.0,28312794.0,230900000.0,2139260000.0,1222000000.0,4910000000.0,2710655500.0,418330000.0,5757032400.0,58082013000.0,1215000000.0,4864650000.0,2590000.0,19990000.0,400000.0,3039466800.0,178810140.0,4423192600.0,1800032.1,15701784000.0,176706780.0,334500000.0,33871932.0,3810543900.0,3301100000.0,9433660000.0,430056160.0,47825924.0,92470370.0,97900000.0,-9200000.0,10271066000.0,8391921000.0,80000000.0,18000000.0,157885060.0,3894755000.0,4519000.0,12260366.0,-10530.0,999347650.0,342704700.0,805000000.0,107860000.0,175000000.0,623000000.0,232430000.0,51311837000.0,122150000000.0,113200000.0,166800000.0,30233300.0,6202000000.0,2220000000.0,163000000.0,-138500000.0,207400000.0,135100000.0
1998-01-01,-10000.0,45010000.0,606600000.0,1113970000.0,7290657300.0,232375000.0,7597611000.0,4571856000.0,1022967000.0,146900000.0,179454420.0,190059380.0,29160482.0,203200000.0,22690500000.0,17650000.0,11294143.0,-627840.44,949300000.0,66736468.0,95318136.0,28855610000.0,573250000.0,537317250.0,4407140.0,-8098408.5,6793745.5,115871736.0,55231296.0,24979208000.0,7300590.0,21696680.0,4627818000.0,45644000000.0,2828826400.0,384220.0,61330000.0,-169664720.0,614500000.0,1004077250.0,345398140.0,3700169500.0,6674661400.0,3173513.5,668900000.0,869980000.0,1076000000.0,1102684200.0,274768130.0,595588000.0,152720450.0,260670000.0,20334036.0,12514916000.0,29518428000.0,10730000.0,132605750.0,23700000.0,265300000.0,29525740000.0,167400000.0,71200000.0,1346300000.0,17810000.0,4407140.0,44000000.0,10760000.0,99000000.0,13939362000.0,3261654800.0,154082600.0,2634651600.0,-240800000.0,24000000.0,7388000.0,8862217000.0,1737400000.0,2640065000.0,760099140.0,322100000.0,2512022000.0,310014100.0,1151400000.0,26548246.0,59063716.0,109228490.0,45900000.0,371400000.0,1134903200.0,28350686.0,190310000.0,-127894070.0,918775000.0,4243174400.0,16635430.0,12104230.0,2163401700.0,11517967.0,9556713.0,323284770.0,132643.0,12170394.0,12756765000.0,75510000.0,18900000.0,937357700.0,308712160.0,234900000.0,314451000.0,96232390.0,12024660.0,37618897000.0,-40626090.0,1825772800.0,218200000.0,-1764551.0,299566660.0,151156380.0,5645870000.0,102000000.0,506000000.0,1315200000.0,109438504.0,340600000.0,1643949000.0,2287000000.0,6383000000.0,6071328300.0,347300000.0,4121574400.0,51007975000.0,2031000000.0,2761360000.0,7100000.0,3000000.0,4200000.0,4283466800.0,71105816.0,4423192600.0,104884.95,5958646300.0,646612350.0,215700000.0,8804628.0,550338600.0,5989200000.0,15714658000.0,193424020.0,83396296.0,88951850.0,370700000.0,9100000.0,23334867000.0,11345530000.0,82000000.0,29940400.0,172306240.0,7314804700.0,4519000.0,11116163.0,45710.0,729767500.0,650727800.0,940000000.0,62300000.0,210000000.0,743000000.0,257660000.0,109817610000.0,211150000000.0,164100000.0,139600000.0,20383380.0,5024000000.0,1671000000.0,208973100.0,-219400000.0,198000000.0,444300000.0
1999-01-01,6040000.0,41200000.0,291600000.0,2471460000.0,23987696000.0,122034000.0,2210918000.0,2974500000.0,510317000.0,149300000.0,453737820.0,179603000.0,47539504.0,444000000.0,119692910000.0,58671500.0,9314782.0,1050270.0,1010500000.0,176780590.0,36675064.0,28385675000.0,747868700.0,818788160.0,7925950.0,-475191.3,53935024.0,102225820.0,35009800.0,27456045000.0,5976950.0,24524970.0,8761016000.0,41014000000.0,1507907100.0,271000.0,11160000.0,-68298650.0,619469200.0,1454741900.0,813054300.0,6312596500.0,16847919000.0,3212901.0,1344900000.0,648410000.0,1065300000.0,215800000.0,154296180.0,325892800.0,98270490.0,69980000.0,-147083840.0,7797795300.0,45971220000.0,4430000.0,89452780.0,49480000.0,82300000.0,86035670000.0,243700000.0,82701090.0,924600000.0,63452428.0,730880.0,46000000.0,30000000.0,237300000.0,25355411000.0,3384966000.0,66639310.0,2168591000.0,-1865621000.0,35000000.0,-14293936.0,18210642000.0,4150000000.0,6941768000.0,235348770.0,474700000.0,14780510000.0,157968980.0,1587000000.0,51953456.0,72269840.0,44412800.0,78900000.0,348100000.0,871676540.0,22038152.0,256260000.0,-128069470.0,564537500.0,4243174400.0,58385284.0,58528210.0,3895263200.0,12322250.0,30998906.0,667032800.0,15119460.0,49353190.0,13941043000.0,37870000.0,30400000.0,937357700.0,826974000.0,381700000.0,253110110.0,51102944.0,4351068.5,41161900000.0,-40626090.0,941464100.0,337300000.0,1605268.5,1004915650.0,91325736.0,5822114000.0,40100000.0,532000000.0,1043500000.0,298023970.0,87200000.0,1940008800.0,1829000000.0,7407000000.0,740701800.0,113250000.0,6254804500.0,60996604000.0,1041000000.0,3256530000.0,1740000.0,-718520.0,3000000.0,-778933300.0,161686930.0,4423192600.0,533201.8,18852989000.0,338895200.0,106600000.0,9900496.0,1503332500.0,10726300000.0,19628575000.0,176410180.0,83151850.0,56796296.0,370800000.0,-61500000.0,62910430000.0,14541329000.0,263000000.0,6702900.0,516700640.0,6102677500.0,4519000.0,15089199.0,958150.0,643300000.0,347320300.0,783000000.0,125000000.0,140200000.0,496000000.0,-985340000.0,129891580000.0,312449000000.0,235300000.0,121200000.0,13403367.0,2932000000.0,1412000000.0,189721780.0,-307600000.0,162000000.0,59000000.0
2000-01-01,170000.0,143000000.0,280100000.0,878620000.0,10418314000.0,104188500.0,14892978000.0,8501013500.0,129937000.0,250250000.0,363562340.0,280384640.0,73696940.0,118800000.0,88738720000.0,29564652.0,-12794844.0,2180022.2,736350000.0,146075620.0,57171340.0,32994718000.0,549607230.0,1001503900.0,23107520.0,11683250.0,34202240.0,118308570.0,159708000.0,68303350000.0,889070.0,115172420.0,4860015600.0,42095300000.0,2436460000.0,93640.0,94190400.0,-98141670.0,723426400.0,1015070000.0,854874300.0,4987079000.0,36013298000.0,3286049.5,989000000.0,-23439368.0,1235000000.0,173400000.0,154499580.0,416214270.0,90658010.0,134640000.0,591375.1,13502069000.0,41389085000.0,9874720.0,278061220.0,43520000.0,131466680.0,248007400000.0,165900000.0,-8195469.5,-788600000.0,9942000.0,702270.0,67100000.0,13250000.0,349978000.0,70495740000.0,2747712500.0,155160740.0,3584217300.0,-4550355500.0,39000000.0,-32000.0,25779436000.0,8047500000.0,13172982000.0,234701730.0,419600000.0,10688168000.0,913258100.0,1370521200.0,110904550.0,16299834.0,-2360125.0,33890000.0,324184860.0,993475000.0,32403928.0,20800000.0,141000000.0,380272500.0,4243174400.0,82952584.0,25999996.0,3787631600.0,22312448.0,60331624.0,743185340.0,40096000.0,265641230.0,18382285000.0,127540000.0,53697000.0,937357700.0,426553280.0,139300000.0,254789760.0,196350770.0,-484826.72,63109730000.0,-40626090.0,-1507812100.0,266500000.0,15767212.0,1140167600.0,217507100.0,8332062000.0,82000000.0,308000000.0,827800000.0,96495384.0,107800000.0,809696800.0,1487000000.0,9335000000.0,7292582000.0,251600000.0,4315009000.0,51301540000.0,1037000000.0,2678030000.0,8100000.0,-1206810.0,3800000.0,-1881066600.0,81643690.0,4423192600.0,39000824.0,15515295000.0,2183119000.0,135800000.0,2004350.2,968831360.0,11509400000.0,40509750000.0,172941400.0,96087230.0,54312300.0,392200000.0,-97200000.0,22817837000.0,23080880000.0,270000000.0,23543300.0,463400860.0,3365987600.0,4519000.0,52818332.0,9212400.0,679500000.0,750720450.0,982000000.0,131000000.0,160700000.0,595000000.0,-506330000.0,164130340000.0,349125000000.0,262825000.0,74700000.0,20256090.0,4703000000.0,1298000000.0,62005480.0,6399510.0,121700000.0,23200000.0
2001-01-01,680000.0,207300000.0,1113105500.0,2145470000.0,2166136800.0,69868500.0,10717133000.0,5689434600.0,819579000.0,102370000.0,80358856.0,78527040.0,91504910.0,95800000.0,88203256000.0,61174890.0,16739539.0,2548248.0,705756000.0,118495220.0,30680572.0,23225846000.0,60694644.0,812942200.0,6267060.0,-11440.913,9010186.0,146482000.0,-11668387.0,28391098000.0,5183900.0,459866400.0,4199763000.0,47053000000.0,2541942500.0,1145910.0,102221900.0,-135479680.0,621846400.0,1036758140.0,944742850.0,5640707000.0,9286405000.0,3392958.8,1087900000.0,538568600.0,509900000.0,278900000.0,940741250.0,592889600.0,29330084.0,349400000.0,41301896.0,3224710400.0,50142052000.0,23688750.0,-100615450.0,35480000.0,109871630.0,56948543000.0,89320000.0,2001266.5,-936494400.0,1677000.0,395613.6,56000000.0,4400000.0,309826700.0,31291720000.0,4058819600.0,163445780.0,5128093700.0,-2977391900.0,408118750.0,-6656000.0,9650920000.0,1771300000.0,14878086000.0,272679900.0,576500000.0,4926033400.0,273628160.0,2816823000.0,5302623.0,-111516290.0,5006733.0,23904284.0,173500720.0,1453907000.0,29695246.0,8300000.0,-133000000.0,442400000.0,4243174400.0,93059224.0,19299992.0,553947400.0,20541054.0,208998480.0,416889150.0,76700000.0,-27675566.0,30060020000.0,103440000.0,63000000.0,937357700.0,2824557300.0,255435490.0,208303570.0,379336350.0,20850000.0,51998917000.0,103041210.0,259321580.0,150200000.0,22587456.0,1190618600.0,469570720.0,3190216200.0,5201560.5,378000000.0,606800000.0,63183320.0,99200000.0,1144260000.0,760000000.0,5677000000.0,6113786000.0,295520000.0,12205014000.0,59965930000.0,1157000000.0,2847300000.0,18500000.0,1414590.0,3000000.0,19640000.0,45083428.0,4423192600.0,9835742.0,17006819000.0,1532584100.0,501200000.0,-8617173.0,7270345000.0,6522300000.0,28909416000.0,171790000.0,104822050.0,17842528.0,574000000.0,-26800000.0,18217810000.0,9765012000.0,110000000.0,9495400.0,549270340.0,5067170300.0,4519000.0,72617650.0,7628660.0,834900030.0,451514800.0,3352000000.0,170000000.0,151496140.0,792000000.0,1183840000.0,56090923000.0,172496000000.0,310402940.0,82800000.0,18004322.0,3704000000.0,1300000000.0,19176400.0,155141000.0,145000000.0,3800000.0
